,Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Aproveitamento
16,Internacional,174,90,28,56,257,236,51.724137931034484,32.18390804597701,16.091954022988507,67.81609195402298
14,Palmeiras,166,79,29,58,213,216,47.59036144578313,34.93975903614458,17.46987951807229,65.06024096385542
19,Cruzeiro,161,74,27,60,206,208,45.962732919254655,37.267080745341616,16.77018633540373,64.59627329192547
9,Grêmio,163,76,38,49,182,201,46.62576687116564,30.061349693251532,23.31288343558282,61.65644171779141
1,Corinthians,165,71,36,58,190,200,43.03030303030303,35.15151515151515,21.818181818181817,60.60606060606061
5,Santos,145,63,35,47,189,173,43.44827586206896,32.41379310344827,24.137931034482758,59.6551724137931
8,São Paulo,159,62,32,65,194,189,38.9937106918239,40.88050314465409,20.125786163522015,59.43396226415094
10,Atlético-MG,158,67,39,52,220,186,42.405063291139236,32.91139240506329,24.68354430379747,58.86075949367089
50,Botafogo-PB,12,5,3,4,16,14,41.66666666666667,33.33333333333333,25.0,58.333333333333336
7,Flamengo,147,65,44,38,188,168,44.21768707482993,25.850340136054424,29.931972789115648,57.14285714285714
13,Vasco,159,61,42,56,165,178,38.36477987421384,35.22012578616352,26.41509433962264,55.9748427672956
40,Guarani,108,39,27,42,127,120,36.11111111111111,38.88888888888889,25.0,55.55555555555556
18,Coritiba,155,67,50,38,170,172,43.225806451612904,24.516129032258064,32.25806451612903,55.483870967741936
60,Ponte Preta,20,8,6,6,23,22,40.0,30.0,30.0,55.00000000000001
38,Fortaleza,87,29,24,34,94,92,33.33333333333333,39.08045977011494,27.586206896551722,52.87356321839081
58,Caxias,20,8,7,5,23,21,40.0,25.0,35.0,52.5
62,Botafogo-SP,21,9,8,4,26,22,42.857142857142854,19.047619047619047,38.095238095238095,52.38095238095239
4,Bahia,142,43,37,62,133,148,30.28169014084507,43.66197183098591,26.056338028169012,52.112676056338024
35,Goiás,95,30,26,39,104,99,31.57894736842105,41.05263157894737,27.368421052631582,52.10526315789473
17,Fluminense,149,54,48,47,165,155,36.241610738255034,31.543624161073826,32.21476510067114,52.013422818791945
2,Botafogo,148,49,45,54,179,152,33.108108108108105,36.486486486486484,30.405405405405407,51.35135135135135
20,Vitória,114,40,37,37,100,117,35.08771929824561,32.45614035087719,32.45614035087719,51.31578947368421
3,America-RJ,145,50,49,46,152,146,34.48275862068966,31.724137931034484,33.793103448275865,50.3448275862069
56,Mixto-MT,12,5,5,2,18,12,41.66666666666667,16.666666666666664,41.66666666666667,50.0
59,Volta Redonda,12,3,3,6,11,12,25.0,50.0,25.0,50.0
34,Athletico-PR,79,28,28,23,82,79,35.44303797468354,29.11392405063291,35.44303797468354,50.0
0,Santa Cruz,152,47,47,58,181,152,30.92105263157895,38.15789473684211,30.92105263157895,50.0
37,Comercial-MS,42,14,16,12,44,40,33.33333333333333,28.57142857142857,38.095238095238095,47.61904761904761
21,Remo,105,31,36,38,105,100,29.523809523809526,36.19047619047619,34.285714285714285,47.61904761904761
27,Tiradentes-PI,37,11,13,13,24,35,29.72972972972973,35.13513513513514,35.13513513513514,47.2972972972973
25,Náutico,120,38,47,35,131,111,31.666666666666664,29.166666666666668,39.166666666666664,46.25
42,Tiradentes,39,13,16,10,36,36,33.33333333333333,25.64102564102564,41.02564102564102,46.15384615384615
46,Operário-MS,23,6,8,9,19,21,26.08695652173913,39.130434782608695,34.78260869565217,45.65217391304348
15,Portuguesa,139,36,53,50,147,122,25.899280575539567,35.97122302158273,38.1294964028777,43.884892086330936
6,Sport,105,28,41,36,90,92,26.666666666666668,34.285714285714285,39.04761904761905,43.80952380952381
11,América-MG,125,29,45,51,114,109,23.200000000000003,40.8,36.0,43.6
28,América-RN,81,23,34,24,83,70,28.39506172839506,29.629629629629626,41.9753086419753,43.20987654320987
36,Olaria,47,12,19,16,44,40,25.53191489361702,34.04255319148936,40.42553191489361,42.5531914893617
29,Rio Negro-AM,72,17,28,27,53,61,23.61111111111111,37.5,38.88888888888889,42.36111111111111
55,Flamengo-PI,12,2,4,6,10,10,16.666666666666664,50.0,33.33333333333333,41.66666666666667
12,Ceará,129,28,52,49,96,105,21.705426356589147,37.98449612403101,40.310077519379846,40.69767441860465
26,Nacional-AM,110,23,44,43,91,89,20.909090909090907,39.09090909090909,40.0,40.45454545454545
31,Figueirense,61,13,25,23,47,49,21.311475409836063,37.704918032786885,40.98360655737705,40.16393442622951
49,Goiânia,28,8,14,6,32,22,28.57142857142857,21.428571428571427,50.0,39.285714285714285
33,Desportiva Capixaba,75,18,36,21,52,57,24.0,28.000000000000004,48.0,38.0
32,CEUB,62,15,30,17,51,47,24.193548387096776,27.419354838709676,48.38709677419355,37.903225806451616
61,Uberaba,12,3,6,3,7,9,25.0,25.0,50.0,37.5
52,Confiança,12,3,6,3,8,9,25.0,25.0,50.0,37.5
30,Paysandu,78,16,37,25,67,57,20.51282051282051,32.05128205128205,47.43589743589743,36.53846153846153
47,Americano,28,8,17,3,27,19,28.57142857142857,10.714285714285714,60.71428571428571,33.92857142857143
24,CRB,73,12,39,22,59,46,16.43835616438356,30.136986301369863,53.42465753424658,31.506849315068493
23,ABC,37,6,20,11,31,23,16.216216216216218,29.72972972972973,54.054054054054056,31.08108108108108
44,Sampaio Corrêa,31,6,18,7,24,19,19.35483870967742,22.58064516129032,58.06451612903226,30.64516129032258
53,Fluminense-BA,12,2,7,3,10,7,16.666666666666664,25.0,58.333333333333336,29.166666666666668
51,Londrina,12,2,7,3,8,7,16.666666666666664,25.0,58.333333333333336,29.166666666666668
57,Rio Branco-ES,12,2,7,3,5,7,16.666666666666664,25.0,58.333333333333336,29.166666666666668
43,Avaí,31,6,19,6,18,18,19.35483870967742,19.35483870967742,61.29032258064516,29.03225806451613
45,CSA,46,8,28,10,30,26,17.391304347826086,21.73913043478261,60.86956521739131,28.26086956521739
41,Itabaiana,19,5,14,0,11,10,26.31578947368421,0.0,73.68421052631578,26.31578947368421
54,Treze,12,3,9,0,9,6,25.0,0.0,75.0,25.0
39,Moto Clube,42,2,25,15,24,19,4.761904761904762,35.714285714285715,59.523809523809526,22.61904761904762
22,Sergipe,69,8,47,14,36,30,11.594202898550725,20.28985507246377,68.11594202898551,21.73913043478261
48,Campinense,16,0,12,4,13,4,0.0,25.0,75.0,12.5
