,Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
0,Rio-SP,1966,1966-02-09,Fluminense,1,3,São Paulo,VV,0,3,1
1,Rio-SP,1966,1966-02-12,Bangu,2,1,Portuguesa,VC,3,0,2
2,Rio-SP,1966,1966-02-13,Fluminense,0,2,Corinthians,VV,0,3,3
3,Rio-SP,1966,1966-02-13,São Paulo,2,0,Flamengo,VC,3,0,4
4,Rio-SP,1966,1966-02-16,Portuguesa,1,2,Fluminense,VV,0,3,5
5,Rio-SP,1966,1966-02-17,Corinthians,1,0,Bangu,VC,3,0,6
6,Rio-SP,1966,1966-02-19,Portuguesa,1,0,São Paulo,VC,3,0,7
7,Rio-SP,1966,1966-02-24,Corinthians,5,4,Portuguesa,VC,3,0,8
8,Rio-SP,1966,1966-02-26,São Paulo,3,2,Santos,VC,3,0,9
9,Rio-SP,1966,1966-02-26,Vasco,1,0,Bangu,VC,3,0,10
11,Rio-SP,1966,1966-02-27,Portuguesa,1,0,Palmeiras,VC,3,0,11
10,Rio-SP,1966,1966-02-27,Fluminense,3,2,Botafogo,VC,3,0,12
12,Rio-SP,1966,1966-03-02,Flamengo,2,1,Botafogo,VC,3,0,13
13,Rio-SP,1966,1966-03-02,Corinthians,0,3,Vasco,VV,0,3,14
14,Rio-SP,1966,1966-03-03,Bangu,2,0,Palmeiras,VC,3,0,15
15,Rio-SP,1966,1966-03-03,Santos,2,1,Portuguesa,VC,3,0,16
16,Rio-SP,1966,1966-03-05,São Paulo,1,2,Botafogo,VV,0,3,17
17,Rio-SP,1966,1966-03-05,Vasco,2,0,Fluminense,VC,3,0,18
18,Rio-SP,1966,1966-03-06,Flamengo,1,1,Santos,E,1,1,19
19,Rio-SP,1966,1966-03-09,Palmeiras,2,1,Flamengo,VC,3,0,20
20,Rio-SP,1966,1966-03-09,Vasco,1,0,São Paulo,VC,3,0,21
22,Rio-SP,1966,1966-03-10,Botafogo,5,1,Corinthians,VC,3,0,22
21,Rio-SP,1966,1966-03-10,Santos,0,1,Fluminense,VV,0,3,23
23,Rio-SP,1966,1966-03-12,São Paulo,1,0,Bangu,VC,3,0,24
24,Rio-SP,1966,1966-03-12,Flamengo,2,0,Portuguesa,VC,3,0,25
25,Rio-SP,1966,1966-03-13,Botafogo,1,1,Santos,E,1,1,26
26,Rio-SP,1966,1966-03-13,Palmeiras,2,1,Vasco,VC,3,0,27
27,Rio-SP,1966,1966-03-16,Fluminense,0,1,Palmeiras,VV,0,3,28
28,Rio-SP,1966,1966-03-16,Portuguesa,2,2,Botafogo,E,1,1,29
29,Rio-SP,1966,1966-03-17,Vasco,1,1,Flamengo,E,1,1,30
30,Rio-SP,1966,1966-03-17,Santos,4,0,Bangu,VC,3,0,31
31,Rio-SP,1966,1966-03-19,Corinthians,2,0,São Paulo,VC,3,0,32
32,Rio-SP,1966,1966-03-19,Botafogo,0,0,Palmeiras,E,1,1,33
34,Rio-SP,1966,1966-03-20,Santos,5,2,Vasco,VC,3,0,34
33,Rio-SP,1966,1966-03-20,Flamengo,4,1,Fluminense,VC,3,0,35
35,Rio-SP,1966,1966-03-21,Palmeiras,2,1,Corinthians,VC,3,0,36
36,Rio-SP,1966,1966-03-23,Botafogo,3,1,Bangu,VC,3,0,37
37,Rio-SP,1966,1966-03-23,Santos,3,2,Palmeiras,VC,3,0,38
38,Rio-SP,1966,1966-03-24,Vasco,1,0,Portuguesa,VC,3,0,39
39,Rio-SP,1966,1966-03-24,Corinthians,3,1,Flamengo,VC,3,0,40
40,Rio-SP,1966,1966-03-26,São Paulo,4,2,Palmeiras,VC,3,0,41
42,Rio-SP,1966,1966-03-27,Botafogo,3,0,Vasco,VC,3,0,42
43,Rio-SP,1966,1966-03-27,Santos,0,0,Corinthians,E,1,1,43
41,Rio-SP,1966,1966-03-27,Bangu,2,0,Fluminense,VC,3,0,44
44,Rio-SP,1966,1966-03-29,Bangu,2,1,Flamengo,VC,3,0,45
