Data,Text
[Feb 27],São Bento		 1-2 Mirassol
[Feb 27],Novorizontino		 1-1 Ponte Preta
[Feb 28],Red Bull Bragantino	 0-0 Corinthians
[Feb 28],Santo André		 2-2 Santos
[Feb 28],São Paulo		 1-1 Botafogo
[Feb 28],Ferroviária		 1-0 Inter de Limeira
[Mar 1],Guarani			 0-3 Ituano
[Mar 11],Palmeiras		 3-0 São Caetano
[Mar 2],Mirassol		 1-1 Novorizontino
[Mar 3],Santos			 1-1 Ferroviária
[Mar 3],Corinthians		 2-2 Palmeiras
[Mar 3],Inter de Limeira	 0-4 São Paulo
[Mar 3],São Caetano		 0-2 Red Bull Bragantino
[Mar 4],Ituano			 1-0 São Bento
[Mar 4],Ponte Preta		 0-1 Santo André
[Mar 4],Botafogo		 0-1 Guarani
[Mar 6],Inter de Limeira	 1-0 Novorizontino
[Mar 6],São Paulo		 4-0 Santos
[Mar 7],Corinthians		 2-1 Ponte Preta
[Mar 7],Ituano			 1-1 Mirassol
[Mar 7],Guarani			 1-1 Red Bull Bragantino
[Mar 8],Santo André		 0-0 São Caetano
[Mar 8],Ferroviária		 5-0 Botafogo
[Mar 24],São Bento		 1-1 Palmeiras 						
[Mar 13],Novorizontino		 2-1 São Paulo
[Mar 13],Guarani			 0-0 São Bento
[Mar 13],Botafogo		 0-1 Ponte Preta
[Mar 13],Santos			 2-1 Ituano
[Mar 14],Mirassol		 1-0 Inter de Limeira
[Mar 14],Palmeiras		 2-0 Ferroviária
[Mar 14],São Caetano		 0-1 Corinthians
[Mar 14],Red Bull Bragantino	 2-1 Santo André
[Mar 23],Mirassol		 0-1 Corinthians 						
[Apr 13],Santo André		 0-0 São Bento
[Apr 14],São Caetano		 0-2 Novorizontino
[Apr 14],Ituano			 1-2 Botafogo
[Apr 15],Inter de Limeira	 0-2 Red Bull Bragantino
[Apr 16],Ponte Preta		 3-0 Santos
[Apr 16],Palmeiras		 0-1 São Paulo
[Apr 20],Ferroviária		 1-2 Guarani
[Apr 17],Red Bull Bragantino	 2-1 Mirassol
[Apr 17],Novorizontino		 3-1 Ferroviária
[Apr 18],Botafogo		 0-0 Palmeiras
[Apr 18],Santos			 2-1 Inter de Limeira
[Apr 18],Corinthians		 2-0 Ituano
[Apr 19],São Bento		 1-1 São Caetano
[Apr 23],São Paulo		 2-0 Santo André
[May 5],Ponte Preta		 3-1 Guarani
[Apr 12],São Paulo		 1-0 Red Bull Bragantino
[Apr 16],Corinthians		 1-1 São Bento
[Apr 21],Inter de Limeira	 1-0 Ituano
[Apr 21],Mirassol		 2-1 Botafogo
[Apr 22],São Caetano		 1-2 Ponte Preta
[Apr 23],Guarani			 1-2 Palmeiras
[Apr 23],Novorizontino		 1-0 Santos
[Apr 29],Ferroviária		 2-2 Santo André
[Apr 25],Botafogo		 1-1 São Caetano
[Apr 25],Ituano			 0-3 São Paulo
[Apr 25],Palmeiras		 1-2 Mirassol
[Apr 25],Red Bull Bragantino	 0-0 Ferroviária
[Apr 25],Santos			 0-2 Corinthians
[Apr 26],Ponte Preta		 0-1 Inter de Limeira
[Apr 26],Santo André		 0-1 Guarani
[Apr 27],São Bento		 1-1 Novorizontino
[Apr 10],São Bento		 1-2 Red Bull Bragantino
[Apr 10],Santos			 0-0 Botafogo
[Apr 13],Ferroviária		 2-1 Corinthians
[Apr 14],São Paulo		 3-2 Guarani
[Apr 20],Novorizontino		 2-0 Santo André
[Apr 28],São Caetano		 0-1 Ituano
[Apr 29],Palmeiras		 0-1 Inter de Limeira
[Apr 29],Ponte Preta		 1-2 Mirassol
[May 1],Red Bull Bragantino	 1-1 Santos
[May 2],Corinthians		 2-2 São Paulo
[May 2],Guarani			 2-1 Novorizontino
[May 2],Ituano			 2-1 Ponte Preta
[May 2],Santo André		 0-1 Palmeiras
[May 3],Botafogo		 2-0 São Bento
[May 3],Inter de Limeira	 1-0 São Caetano
[May 3],Mirassol		 1-3 Ferroviária
[Apr 10],São Paulo		 5-1 São Caetano
[Apr 11],Guarani			 0-1 Corinthians
[Apr 19],Red Bull Bragantino	 2-0 Ponte Preta
[May 6],Ferroviária		 1-0 Ituano
[May 6],Novorizontino		 2-2 Botafogo
[May 6],Palmeiras		 3-2 Santos
[May 6],Santo André		 2-1 Mirassol
[May 6],São Bento		 2-1 Inter de Limeira
[May 6],Botafogo		 1-1 Red Bull Bragantino
[May 6],Corinthians		 2-1 Novorizontino
[May 6],Inter de Limeira	 1-0 Guarani
[May 6],Ituano			 0-1 Santo André
[May 6],Mirassol		 1-1 São Paulo
[May 6],Ponte Preta		 0-3 Palmeiras
[May 6],Santos			 2-0 São Bento
[May 6],São Caetano		 0-3 Ferroviária
[Mai 11],Corinthians		 4-1 Inter de Limeira
[Mai 12],Mirassol		 0-0 Guarani 			
[Mai 14],Red Bull Bragantino	 0-1 Palmeiras
[Mai 14],São Paulo		 4-2 Ferroviária
[Mai 16],Corinthians		 0-2 Palmeiras
[Mai 16],São Paulo		 4-0 Mirassol
[May 20],Palmeiras		 0-0 São Paulo
[May 23],São Paulo		 2-0 Palmeiras
[May 12],Ituano			 5-1 Santo André
[May 13],Ponte Preta		 0-0 Botafogo 			
[May 16],Red Bull Bragantino	 1-1 Ponte Preta 			
[May 17],Novorizontino		 4-0 Ituano
[May 20],Novorizontino		 2-0 Ponte Preta
